title,review,homepage,discount,original_price,publish_date,image
Life is Strange: Before the Storm,"Very Positive<br>93% of the 19,944 user reviews for this game are positive.",https://store.steampowered.com/app/554620/Life_is_Strange_Before_the_Storm/?snr=1_7_7_204_150_1,-71%,¥ 58,"31 Aug, 2017",https://media.st.dl.bscstorage.net/steam/apps/554620/capsule_sm_120.jpg?t=1538148478
Thief,"Mostly Positive<br>70% of the 9,088 user reviews for this game are positive.",https://store.steampowered.com/app/239160/Thief/?snr=1_7_7_204_150_1,-85%,¥ 88,"24 Feb, 2014",https://media.st.dl.bscstorage.net/steam/apps/239160/capsule_sm_120.jpg?t=1530655519
Shadow Tactics: Blades of the Shogun,"Overwhelmingly Positive<br>95% of the 6,468 user reviews for this game are positive.",https://store.steampowered.com/app/418240/Shadow_Tactics_Blades_of_the_Shogun/?snr=1_7_7_204_150_1,-60%,¥ 115,"6 Dec, 2016",https://media.st.dl.bscstorage.net/steam/apps/418240/capsule_sm_120.jpg?t=1547119068
Just Cause 2,"Very Positive<br>90% of the 27,022 user reviews for this game are positive.",https://store.steampowered.com/app/8190/Just_Cause_2/?snr=1_7_7_204_150_1,-92%,¥ 48,"23 Mar, 2010",https://media.st.dl.bscstorage.net/steam/apps/8190/capsule_sm_120.jpg?t=1543946597
Life is Strange 2,"Very Positive<br>90% of the 3,542 user reviews for this game are positive.",https://store.steampowered.com/app/532210/Life_is_Strange_2/?snr=1_7_7_204_150_2,-51%,¥ 51,"26 Sep, 2018",https://media.st.dl.bscstorage.net/steam/apps/532210/capsule_sm_120.jpg?t=1547053901
Life is Strange - Episode 1,"Overwhelmingly Positive<br>96% of the 120,655 user reviews for this game are positive.",https://store.steampowered.com/app/319630/Life_is_Strange__Episode_1/?snr=1_7_7_204_150_2,-81%,¥ 68,"29 Jan, 2015",https://media.st.dl.bscstorage.net/steam/apps/319630/capsule_sm_120.jpg?t=1538147881
Tomb Raider Collection,"Very Positive<br>93% of the 123,139 user reviews for games in this bundle are positive.",https://store.steampowered.com/bundle/2823/Tomb_Raider_Collection/?snr=1_7_7_204_150_2,-87%,"¥ 1,195",,https://media.st.dl.bscstorage.net/steam/bundles/2823/kg1ybxa7crqjpm3y/capsule_sm_120.jpg?t=1489057338
Depth,"Very Positive<br>88% of the 17,480 user reviews for this game are positive.",https://store.steampowered.com/app/274940/Depth/?snr=1_7_7_204_150_2,-75%,¥ 68,"3 Nov, 2014",https://media.st.dl.bscstorage.net/steam/apps/274940/capsule_sm_120.jpg?t=1547503136
Medieval Kingdom Wars,"Mostly Positive<br>78% of the 1,210 user reviews for this game are positive.",https://store.steampowered.com/app/499660/Medieval_Kingdom_Wars/?snr=1_7_7_204_150_2,-20%,¥ 70,"3 Jan, 2019",https://media.st.dl.bscstorage.net/steam/apps/499660/capsule_sm_120.jpg?t=1546974469
Car Mechanic Simulator 2015,"Very Positive<br>90% of the 7,227 user reviews for this game are positive.",https://store.steampowered.com/app/320300/Car_Mechanic_Simulator_2015/?snr=1_7_7_204_150_2,-91%,¥ 68,"1 Apr, 2015",https://media.st.dl.bscstorage.net/steam/apps/320300/capsule_sm_120.jpg?t=1516409288
Just Cause Collection,"Very Positive<br>80% of the 65,140 user reviews for games in this bundle are positive.",https://store.steampowered.com/bundle/2277/Just_Cause_Collection/?snr=1_7_7_204_150_2,-85%,¥ 460,,https://media.st.dl.bscstorage.net/steam/bundles/2277/6yhsb6so59s4ud0r/capsule_sm_120.jpg?t=1482428803
Love Language Japanese,Positive<br>95% of the 24 user reviews for this game are positive.,https://store.steampowered.com/app/445800/Love_Language_Japanese/?snr=1_7_7_204_150_2,-20%,¥ 70,"11 Jan, 2019",https://media.st.dl.bscstorage.net/steam/apps/445800/capsule_sm_120.jpg?t=1547279705
Euro Truck Simulator 2 Map Booster,"Overwhelmingly Positive<br>95% of the 7,485 user reviews for games in this bundle are positive.",https://store.steampowered.com/bundle/5555/Euro_Truck_Simulator_2_Map_Booster/?snr=1_7_7_204_150_2,-71%,¥ 298,,https://media.st.dl.bscstorage.net/steam/bundles/5555/liv1vt9cn3j11ykr/capsule_sm_120.jpg?t=1512484983
Deus Ex: Human Revolution - Director's Cut,"Very Positive<br>91% of the 11,236 user reviews for this game are positive.",https://store.steampowered.com/app/238010/Deus_Ex_Human_Revolution__Directors_Cut/?snr=1_7_7_204_150_2,-85%,¥ 68,"25 Oct, 2013",https://media.st.dl.bscstorage.net/steam/apps/238010/capsule_sm_120.jpg?t=1478806360
Niche - a genetics survival game & Soundtrack,"Very Positive<br>88% of the 1,805 user reviews for games in this bundle are positive.",https://store.steampowered.com/bundle/4751/Niche__a_genetics_survival_game__Soundtrack/?snr=1_7_7_204_150_2,-71%,¥ 78,,https://media.st.dl.bscstorage.net/steam/bundles/4751/bah5zp79a4u6hdv3/capsule_sm_120.jpg?t=1506686116
Fictorum,Mostly Positive<br>71% of the 269 user reviews for this game are positive.,https://store.steampowered.com/app/503620/Fictorum/?snr=1_7_7_204_150_2,-50%,¥ 68,"9 Aug, 2017",https://media.st.dl.bscstorage.net/steam/apps/503620/capsule_sm_120.jpg?t=1545406534
The Deus Ex Collection,"Mostly Positive<br>77% of the 34,516 user reviews for games in this bundle are positive.",https://store.steampowered.com/bundle/2355/The_Deus_Ex_Collection/?snr=1_7_7_204_150_2,-88%,¥ 400,,https://media.st.dl.bscstorage.net/steam/bundles/2355/aa7pevz58f9v2msa/capsule_sm_120.jpg?t=1505989069
Nine Parchments,Mostly Positive<br>73% of the 913 user reviews for this game are positive.,https://store.steampowered.com/app/471550/Nine_Parchments/?snr=1_7_7_204_150_2,-76%,¥ 70,"5 Dec, 2017",https://media.st.dl.bscstorage.net/steam/apps/471550/capsule_sm_120.jpg?t=1547124812
Stronghold Crusader 2,"Mixed<br>62% of the 3,988 user reviews for this game are positive.",https://store.steampowered.com/app/232890/Stronghold_Crusader_2/?snr=1_7_7_204_150_2,-80%,¥ 204,"22 Sep, 2014",https://media.st.dl.bscstorage.net/steam/apps/232890/capsule_sm_120.jpg?t=1544019763
Eidos Anthology,"Very Positive<br>88% of the 401,314 user reviews for games in this bundle are positive.",https://store.steampowered.com/bundle/4910/Eidos_Anthology/?snr=1_7_7_204_150_2,-91%,"¥ 3,396",,https://media.st.dl.bscstorage.net/steam/bundles/4910/gk3iu2bc8qnm5g46/capsule_sm_120.jpg?t=1511372795
Life is Strange: Before the Storm Deluxe Edition,"Very Positive<br>93% of the 20,268 user reviews for games in this bundle are positive.",https://store.steampowered.com/bundle/4418/Life_is_Strange_Before_the_Storm_Deluxe_Edition/?snr=1_7_7_204_150_2,-70%,¥ 92,,https://media.st.dl.bscstorage.net/steam/bundles/4418/co7bq9flvaat800j/capsule_sm_120.jpg?t=1528297499
