title,review,homepage,discount,original_price,publish_date,image
AI Dummy,Mixed<br>55% of the 20 user reviews for this game are positive.,https://store.steampowered.com/app/744220/AI_Dummy/?snr=1_7_7_204_150_4,-73%,¥ 11,"31 Dec, 2018",https://media.st.dl.bscstorage.net/steam/apps/744220/capsule_sm_120.jpg?t=1546247067
The Stronghold Collection,Very Positive<br>84% of the 649 user reviews for this game are positive.,https://store.steampowered.com/app/901735/The_Stronghold_Collection/?snr=1_7_7_204_150_4,-75%,¥ 80,"27 Oct, 2009",https://media.st.dl.bscstorage.net/steam/apps/901735/capsule_sm_120.jpg?t=1499271900
Tomb Raider II,Very Positive<br>87% of the 724 user reviews for this game are positive.,https://store.steampowered.com/app/225300/Tomb_Raider_II/?snr=1_7_7_204_150_4,-89%,¥ 28,"28 Nov, 2012",https://media.st.dl.bscstorage.net/steam/apps/225300/capsule_sm_120.jpg?t=1536940784
"The Official GamingTaylor Game, Great Job!",,https://store.steampowered.com/app/881510/The_Official_GamingTaylor_Game_Great_Job/?snr=1_7_7_204_150_4,-92%,¥ 37,"6 Jul, 2018",https://media.st.dl.bscstorage.net/steam/apps/881510/capsule_sm_120.jpg?t=1547158192
Small Sister,Mixed<br>42% of the 14 user reviews for this game are positive.,https://store.steampowered.com/app/904600/Small_Sister/?snr=1_7_7_204_150_4,-86%,¥ 22,"15 Aug, 2018",https://media.st.dl.bscstorage.net/steam/apps/904600/capsule_sm_120.jpg?t=1543371495
Shield Impact,Positive<br>81% of the 27 user reviews for this game are positive.,https://store.steampowered.com/app/771680/Shield_Impact/?snr=1_7_7_204_150_4,-80%,¥ 15,"29 Aug, 2018",https://media.st.dl.bscstorage.net/steam/apps/771680/capsule_sm_120.jpg?t=1547560594
Tomb Raider I,"Very Positive<br>81% of the 1,631 user reviews for this game are positive.",https://store.steampowered.com/app/224960/Tomb_Raider_I/?snr=1_7_7_204_150_4,-89%,¥ 28,"28 Nov, 2012",https://media.st.dl.bscstorage.net/steam/apps/224960/capsule_sm_120.jpg?t=1536940779
Gold Magic 800,,https://store.steampowered.com/app/939200/Gold_Magic_800/?snr=1_7_7_204_150_4,-86%,¥ 22,"25 Sep, 2018",https://media.st.dl.bscstorage.net/steam/apps/939200/capsule_sm_120.jpg?t=1540729746
Mad Age & This Guy,Positive<br>84% of the 26 user reviews for this game are positive.,https://store.steampowered.com/app/671650/Mad_Age__This_Guy/?snr=1_7_7_204_150_4,-92%,¥ 36,"24 Oct, 2017",https://media.st.dl.bscstorage.net/steam/apps/671650/capsule_sm_120.jpg?t=1542405206
Mini Ninjas,"Very Positive<br>86% of the 1,117 user reviews for this game are positive.",https://store.steampowered.com/app/35000/Mini_Ninjas/?snr=1_7_7_204_150_4,-86%,¥ 36,"9 Oct, 2009",https://media.st.dl.bscstorage.net/steam/apps/35000/capsule_sm_120.jpg?t=1478904152
Dad Quest | Story Platformer Adventure,Positive<br>91% of the 46 user reviews for this game are positive.,https://store.steampowered.com/app/524250/Dad_Quest__Story_Platformer_Adventure/?snr=1_7_7_204_150_4,-72%,¥ 43,"17 Aug, 2018",https://media.st.dl.bscstorage.net/steam/apps/524250/capsule_sm_120.jpg?t=1546438598
